date,close,open,high,low,volume,SMA_7d,ATR_7d,BB_Upper_7d,BB_Lower_7d,Return_Std_7d,SMA_14d,ATR_14d,BB_Upper_14d,BB_Lower_14d,Return_Std_14d,SMA_30d,ATR_30d,BB_Upper_30d,BB_Lower_30d,Return_Std_30d,SMA_50d,ATR_50d,BB_Upper_50d,BB_Lower_50d,Return_Std_50d
2025-02-21,96153.8335590858,95804.7400721427,99524.81970204,94876.2150483914,7418.53489183492,96643.54146827968,2331.959601302257,98644.14486975955,94642.93806679982,1.3730144131368602,96782.33734872889,2574.885984330756,98501.94806284706,95062.72663461072,1.3214185033832566,99096.88152094334,3514.4196979241888,105491.71126214885,92702.05177973783,1.6586542488175142,,,,,
2025-02-22,96587.5388193773,96668.4368085854,96980.8020495874,95784.6816298284,2971.37697931198,96492.79100814695,2398.567614532084,98290.78537917929,94694.7966371146,1.3922545580590706,96790.06727945362,2576.44934826507,98504.77636681643,95075.35819209082,1.3272772121430683,98851.04626229715,3368.2038958136886,105035.44222506309,92666.65029953122,1.660988438195056,,,,,
2025-02-23,96292.8473302412,95824.7525012074,96691.296962515,95284.0016485569,8991.64278432685,96512.11144946997,2358.88777519284,98296.14993684931,94728.07296209063,1.2619744153808372,96775.07060152832,2493.5650189003914,98504.21406502485,95045.9271380318,1.3300392557767493,98563.91854947031,3269.8870024195917,104373.41600527166,92754.42109366896,1.6469925667799594,,,,,
2025-02-24,91605.4617630073,92507.2094158548,96531.4844425039,91422.941833979,27805.0735466451,95907.55795724904,2830.7962143633818,100057.71337858702,91757.40253591105,2.252663706789407,96354.72507242011,2640.187922928163,99563.22024689429,93146.22989794594,1.820407305841613,98124.21880317897,3400.4114160926547,103978.364811793,92270.07279456494,1.8476645257412119,98834.38234576098,3743.2173258784196,106210.80326012825,91457.96143139372,
2025-02-25,88688.623551652,88827.4828985827,92600.4895590322,86099.3778493887,10836.8366274528,94909.94756602647,3281.5269082386117,101786.3117756054,88033.58335644755,2.43312591351384,95844.79440870664,2844.452131231735,101057.43678078234,90632.15203663094,1.9392365784004006,97660.27973571657,3517.732226648872,104209.24347880289,91111.31599263025,1.8918318090041304,98562.53735569866,3858.37381879359,106407.48925298917,90717.58545840815,2.139984706807782
2025-02-27,84718.8275050657,84705.0384523471,87053.2938426542,82719.1851835194,9584.65205894433,91177.79465022705,4319.853948367142,102040.9641675724,80314.6251328817,2.4070433159574844,94010.66246849981,3173.163078218456,103548.87656725926,84472.44836974036,2.1626271639045616,96511.12387543266,3600.826807796025,105510.58572707557,87511.66202378976,2.0817112676277016,98099.62437116759,3862.256374422507,107689.5695538578,88509.67918847738,2.1236692859726087
2025-02-28,84391.4997334327,84178.4035755387,85094.7786770659,78337.9498631835,6719.96969740789,89497.4612465623,4621.028828400543,100407.42216879007,78587.50032433454,2.487690231263799,93070.501357421,3476.4942148513996,103642.99267018583,82498.01004465617,2.105745555362751,95865.99486954883,3710.5183362937723,105473.78627938006,86258.2034597176,2.0045317720152145,97935.83474029061,3915.2015618746136,108168.68401637957,87702.98546420164,2.094829810861794
2025-03-01,86090.4351420347,86139.8545533826,86595.1842745549,83866.7843849393,5482.16948985857,87997.87500694195,4839.925895522914,97095.06085916364,78900.68915472025,2.7784039266563423,92245.33300754444,3619.246755027499,103080.60239567659,81410.06361941229,2.2412685758175415,95242.67801720758,3697.1943122455255,104881.0642464006,85604.29178801457,2.041571759029531,97762.92894186264,3900.579295106656,108496.398326787,87029.45955693828,2.087662978575681
2025-03-02,94381.5092907682,94384.9139128489,95136.1200274538,85143.6360684646,23096.7175523312,87724.82671558867,6066.381416241643,95706.49399689685,79743.15943428049,5.108725013341102,92118.46908252932,4212.634595717241,102796.87308818466,81440.06507687399,3.5765853795619056,94973.40888411319,3880.1168203649318,104220.93798535404,85725.87978287233,2.747994998485999,97758.82659781644,4077.5118350459375,108497.40660447942,87020.24659115347,2.505874108404812
2025-03-03,86233.5488392928,86679.2914773327,94509.2979013448,85183.8447327459,13402.2911709032,86957.41058362943,6668.797210537929,94196.31508547204,79718.50608178682,5.8319369337666105,91432.48427043924,4749.796712450655,102313.74940680104,80551.21913407743,4.247595120081663,94493.491853808,4106.767400066562,104016.33762948884,84970.64607812715,3.137755292577056,97593.01623826899,4230.638914648335,108782.03485131043,86403.99762522755,2.7891646071223124
